trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,surf_3_conc,drug_conc,surf_1,surf_2,surf_3,surf_conc,obj_surf_conc
32,IBP,0.2063,0.3073,0.0373,24,10,13,25.0,s1,s6,s8,47,
33,IBP,0.2063,0.3073,0.0373,24,13,11,25.0,s1,s6,s8,48,
34,LOV,0.4045,0.4196,0.0728,24,12,13,25.0,s1,s6,s8,49,
35,LOV,0.4045,0.4196,0.0728,24,15,9,25.0,s1,s6,s8,48,
36,DCF,0.2962,0.4364,0.0493,24,13,13,25.0,s1,s6,s8,50,
37,DCF,0.2962,0.4364,0.0493,24,13,14,25.0,s1,s6,s8,51,
38,GLV,0.3528,0.281,0.0711,24,12,18,25.0,s1,s6,s8,54,
39,GLV,0.3528,0.281,0.0711,24,11,13,25.0,s1,s6,s8,48,
