trial_index,drug_name,well_slot,deep_well_slot,rack_1000,well_1000,well_50,replicates,s1,s2,s3,s4,s5,s6,s7,s8,total_vol,obj_total_vol
0,IBP,B7,B7,0,A1,A1,2,0.0,0.0,0.0,0.0,620.0,0.0,170.0,0.0,790.0,
1,IBP,B9,B9,0,A1,A1,2,0.0,0.0,640.0,0.0,0.0,0.0,0.0,395.0,1035.0,
2,IBP,B11,B11,0,A1,A1,2,0.0,0.0,185.0,0.0,640.0,0.0,0.0,0.0,825.0,
3,IBP,C1,C1,0,A1,A1,2,0.0,415.0,0.0,345.0,0.0,0.0,0.0,0.0,760.0,
4,IBP,C3,C3,0,A1,A1,2,750.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,1065.0,
5,IBP,C5,C5,0,A1,A1,2,0.0,360.0,420.0,0.0,0.0,0.0,0.0,0.0,780.0,
6,IBP,C7,C7,0,A1,A1,2,60.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,900.0,
7,IBP,C9,C9,0,A1,A1,2,85.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,585.0,
8,IBP,C11,C11,0,A1,A1,2,290.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,
